DATE,CSUSHPISA
1987-01-01,63.964
1987-02-01,64.423
1987-03-01,64.734
1987-04-01,65.132
1987-05-01,65.566
1987-06-01,66.07300000000001
1987-07-01,66.507
1987-08-01,66.936
1987-09-01,67.328
1987-10-01,67.737
1987-11-01,68.10600000000001
1987-12-01,68.505
1988-01-01,68.858
1988-02-01,69.262
1988-03-01,69.63600000000001
1988-04-01,69.973
1988-05-01,70.42399999999999
1988-06-01,70.887
1988-07-01,71.352
1988-08-01,71.79899999999999
1988-09-01,72.241
1988-10-01,72.63600000000001
1988-11-01,73.07300000000001
1988-12-01,73.465
1989-01-01,73.946
1989-02-01,74.382
1989-03-01,74.778
1989-04-01,75.084
1989-05-01,75.307
1989-06-01,75.48
1989-07-01,75.657
1989-08-01,75.835
1989-09-01,76.057
1989-10-01,76.285
1989-11-01,76.524
1989-12-01,76.706
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.2
1990-04-01,77.277
1990-05-01,77.296
1990-06-01,77.257
1990-07-01,77.137
1990-08-01,77.007
1990-09-01,76.848
1990-10-01,76.69800000000001
1990-11-01,76.369
1990-12-01,76.182
1991-01-01,75.913
1991-02-01,75.734
1991-03-01,75.568
1991-04-01,75.564
1991-05-01,75.764
1991-06-01,75.992
1991-07-01,76.08
1991-08-01,76.108
1991-09-01,76.193
1991-10-01,76.072
1991-11-01,76.015
1991-12-01,76.055
1992-01-01,76.087
1992-02-01,76.156
1992-03-01,76.277
1992-04-01,76.345
1992-05-01,76.398
1992-06-01,76.333
1992-07-01,76.264
1992-08-01,76.232
1992-09-01,76.24
1992-10-01,76.376
1992-11-01,76.559
1992-12-01,76.67399999999999
1993-01-01,76.78399999999999
1993-02-01,76.83800000000001
1993-03-01,76.868
1993-04-01,76.937
1993-05-01,77.038
1993-06-01,77.243
1993-07-01,77.429
1993-08-01,77.613
1993-09-01,77.795
1993-10-01,77.942
1993-11-01,78.149
1993-12-01,78.32600000000001
1994-01-01,78.592
1994-02-01,78.727
1994-03-01,78.857
1994-04-01,78.988
1994-05-01,79.223
1994-06-01,79.42399999999999
1994-07-01,79.596
1994-08-01,79.782
1994-09-01,79.92
1994-10-01,80.066
1994-11-01,80.15100000000001
1994-12-01,80.297
1995-01-01,80.42699999999999
1995-02-01,80.529
1995-03-01,80.6
1995-04-01,80.66199999999999
1995-05-01,80.705
1995-06-01,80.786
1995-07-01,80.938
1995-08-01,81.111
1995-09-01,81.308
1995-10-01,81.483
1995-11-01,81.62100000000001
1995-12-01,81.738
1996-01-01,81.835
1996-02-01,81.954
1996-03-01,82.194
1996-04-01,82.42200000000001
1996-05-01,82.61
1996-06-01,82.75299999999999
1996-07-01,82.93
1996-08-01,83.088
1996-09-01,83.258
1996-10-01,83.37899999999999
1996-11-01,83.554
1996-12-01,83.723
1997-01-01,83.95700000000001
1997-02-01,84.182
1997-03-01,84.45299999999999
1997-04-01,84.624
1997-05-01,84.86200000000001
1997-06-01,85.081
1997-07-01,85.333
1997-08-01,85.574
1997-09-01,85.851
1997-10-01,86.147
1997-11-01,86.633
1997-12-01,87.094
1998-01-01,87.617
1998-02-01,88.005
1998-03-01,88.443
1998-04-01,88.88
1998-05-01,89.365
1998-06-01,89.845
1998-07-01,90.311
1998-08-01,90.787
1998-09-01,91.26
1998-10-01,91.719
1998-11-01,92.20100000000001
1998-12-01,92.713
1999-01-01,93.209
1999-02-01,93.67200000000001
1999-03-01,94.21799999999999
1999-04-01,94.786
1999-05-01,95.346
1999-06-01,95.977
1999-07-01,96.594
1999-08-01,97.221
1999-09-01,97.865
1999-10-01,98.52600000000001
1999-11-01,99.15799999999999
1999-12-01,99.848
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92200000000001
2000-05-01,103.677
2000-06-01,104.42399999999999
2000-07-01,105.053
2000-08-01,105.76799999999999
2000-09-01,106.537
2000-10-01,107.381
2000-11-01,108.29899999999999
2000-12-01,109.139
2001-01-01,109.845
2001-02-01,110.499
2001-03-01,111.10700000000001
2001-04-01,111.65
2001-05-01,112.162
2001-06-01,112.795
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.811
2001-10-01,115.30799999999999
2001-11-01,115.854
2001-12-01,116.45299999999999
2002-01-01,117.14299999999999
2002-02-01,117.845
2002-03-01,118.68799999999999
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81200000000001
2002-07-01,122.88600000000001
2002-08-01,123.829
2002-09-01,124.77799999999999
2002-10-01,125.73299999999999
2002-11-01,126.66799999999999
2002-12-01,127.62200000000001
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.14700000000002
2003-04-01,130.885
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.776
2003-08-01,134.967
2003-09-01,136.29399999999998
2003-10-01,137.532
2003-11-01,138.79399999999998
