DATE,CE16OV
1999-01-01,133027
1999-02-01,132856
1999-03-01,132947
1999-04-01,132955
1999-05-01,133311
1999-06-01,133378
1999-07-01,133414
1999-08-01,133591
1999-09-01,133707
1999-10-01,133993
1999-11-01,134309
1999-12-01,134523
2000-01-01,136559
2000-02-01,136598
2000-03-01,136701
2000-04-01,137270
2000-05-01,136630
2000-06-01,136940
2000-07-01,136531
2000-08-01,136662
2000-09-01,136893
2000-10-01,137088
2000-11-01,137322
2000-12-01,137614
2001-01-01,137778
2001-02-01,137612
2001-03-01,137783
2001-04-01,137299
2001-05-01,137092
2001-06-01,136873
2001-07-01,137071
2001-08-01,136241
2001-09-01,136846
2001-10-01,136392
2001-11-01,136238
2001-12-01,136047
2002-01-01,135701
2002-02-01,136438
2002-03-01,136177
2002-04-01,136126
2002-05-01,136539
2002-06-01,136415
2002-07-01,136413
2002-08-01,136705
2002-09-01,137302
2002-10-01,137008
2002-11-01,136521
2002-12-01,136426
2003-01-01,137417
2003-02-01,137482
2003-03-01,137434
2003-04-01,137633
2003-05-01,137544
2003-06-01,137790
2003-07-01,137474
2003-08-01,137549
2003-09-01,137609
2003-10-01,137984
2003-11-01,138424
2003-12-01,138411
2004-01-01,138472
2004-02-01,138542
2004-03-01,138453
2004-04-01,138680
2004-05-01,138852
2004-06-01,139174
2004-07-01,139556
2004-08-01,139573
2004-09-01,139487
2004-10-01,139732
2004-11-01,140231
2004-12-01,140125
2005-01-01,140245
2005-02-01,140385
2005-03-01,140654
2005-04-01,141254
2005-05-01,141609
2005-06-01,141714
2005-07-01,142026
2005-08-01,142434
2005-09-01,142401
2005-10-01,142548
2005-11-01,142499
2005-12-01,142752
2006-01-01,143150
2006-02-01,143457
2006-03-01,143741
2006-04-01,143761
2006-05-01,144089
2006-06-01,144353
2006-07-01,144202
2006-08-01,144625
2006-09-01,144815
2006-10-01,145314
2006-11-01,145534
2006-12-01,145970
2007-01-01,146028
2007-02-01,146057
2007-03-01,146320
2007-04-01,145586
2007-05-01,145903
2007-06-01,146063
2007-07-01,145905
2007-08-01,145682
2007-09-01,146244
2007-10-01,145946
2007-11-01,146595
2007-12-01,146273
2008-01-01,146378
2008-02-01,146156
2008-03-01,146086
2008-04-01,146132
2008-05-01,145908
2008-06-01,145737
2008-07-01,145532
2008-08-01,145203
2008-09-01,145076
2008-10-01,144802
2008-11-01,144100
2008-12-01,143369
2009-01-01,142152
2009-02-01,141640
2009-03-01,140707
2009-04-01,140656
2009-05-01,140248
2009-06-01,140009
2009-07-01,139901
2009-08-01,139492
2009-09-01,138818
2009-10-01,138432
2009-11-01,138659
2009-12-01,138013
2010-01-01,138438
2010-02-01,138581
2010-03-01,138751
2010-04-01,139297
2010-05-01,139241
2010-06-01,139141
2010-07-01,139179
2010-08-01,139438
2010-09-01,139396
2010-10-01,139119
2010-11-01,139044
2010-12-01,139301
2011-01-01,139250
2011-02-01,139394
2011-03-01,139639
2011-04-01,139586
2011-05-01,139624
2011-06-01,139384
2011-07-01,139524
2011-08-01,139942
2011-09-01,140183
2011-10-01,140368
2011-11-01,140826
2011-12-01,140902
2012-01-01,141584
2012-02-01,141858
2012-03-01,142036
2012-04-01,141899
2012-05-01,142206
2012-06-01,142391
2012-07-01,142292
2012-08-01,142291
2012-09-01,143044
2012-10-01,143431
2012-11-01,143333
2012-12-01,143330
2013-01-01,143292
2013-02-01,143362
2013-03-01,143316
2013-04-01,143635
2013-05-01,143882
2013-06-01,143999
2013-07-01,144264
2013-08-01,144326
2013-09-01,144418
2013-10-01,143537
2013-11-01,144479
2013-12-01,144778
2014-01-01,145150
2014-02-01,145134
2014-03-01,145648
2014-04-01,145667
2014-05-01,145825
2014-06-01,146247
2014-07-01,146399
2014-08-01,146530
2014-09-01,146778
2014-10-01,147427
2014-11-01,147404
2014-12-01,147615
2015-01-01,148145
2015-02-01,148045
2015-03-01,148128
2015-04-01,148511
2015-05-01,148817
2015-06-01,148816
2015-07-01,148830
2015-08-01,149181
2015-09-01,148826
2015-10-01,149246
2015-11-01,149463
2015-12-01,150128
2016-01-01,150653
2016-02-01,150939
2016-03-01,151218
2016-04-01,151074
2016-05-01,151132
2016-06-01,151223
2016-07-01,151554
2016-08-01,151779
2016-09-01,151761
2016-10-01,151793
2016-11-01,151954
2016-12-01,152157
2017-01-01,152150
2017-02-01,152414
2017-03-01,153050
2017-04-01,153274
2017-05-01,153017
2017-06-01,153356
2017-07-01,153612
2017-08-01,153592
2017-09-01,154266
2017-10-01,153633
2017-11-01,153749
2017-12-01,153911
2018-01-01,154495
2018-02-01,155174
2018-03-01,155266
2018-04-01,155363
2018-05-01,155688
2018-06-01,155768
2018-07-01,156186
2018-08-01,155567
2018-09-01,155948
2018-10-01,156306
2018-11-01,156598
2018-12-01,156745
2019-01-01,156625
2019-02-01,156904
2019-03-01,156809
2019-04-01,156741
2019-05-01,156883
2019-06-01,157131
2019-07-01,157617
2019-08-01,157861
2019-09-01,158230
2019-10-01,158356
2019-11-01,158540
2019-12-01,158735
2020-01-01,158659
2020-02-01,158732
2020-03-01,155536
2020-04-01,133370
2020-05-01,137224
2020-06-01,142100
2020-07-01,143777
2020-08-01,147276
2020-09-01,147543
2020-10-01,149669
2020-11-01,149809
2020-12-01,149830
2021-01-01,150031
2021-02-01,150239
2021-03-01,150848
2021-04-01,151176
2021-05-01,151620
2021-06-01,151602
2021-07-01,152645
2021-08-01,153154
2021-09-01,153680
2021-10-01,154039
